id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
tullie,Tullie,False,FEMALE,11,30,3186,6,15,0.875,0.23015873015873012,0.47286630976487953
clodomir,Clodomir,False,UNKNOWN,2,3,522,2,3,0.5384615384615384,0.0,0.21144655682332122
lepide,Lépide,False,MALE,2,10,897,2,2,0.5833333333333334,0.0,0.22053346628182557
ciceron,Cicéron,False,MALE,8,35,3586,6,9,0.875,0.25396825396825395,0.4699023875856914
octave,Octave César,False,MALE,8,42,3267,4,8,0.7,0.07142857142857142,0.3671714865271284
mecene,Mécène,False,MALE,3,13,1318,2,3,0.5384615384615384,0.0,0.19580980712703785
sextus,Sextus,False,MALE,6,18,1396,5,11,0.7777777777777778,0.11111111111111109,0.43105857401695713
philippe,Philippe,False,MALE,2,8,787,3,3,0.6363636363636364,0.0,0.3213668740998285
