id,name,isGroup,gender,numOfScenes,numOfSpeechActs,numOfWords,degree,weightedDegree,closeness,betweenness,eigenvector
almanzor,Almanzor,False,MALE,13,99,1782,6,20,1.0,0.15,0.4402315185154363
fatme,Fatmé,False,FEMALE,2,36,680,2,3,0.6,0.0,0.18118374044758714
arlequin,Arlequin,False,MALE,11,84,1132,6,22,1.0,0.15,0.4402315185154363
le-barbier,Le Barbier,False,FEMALE,8,66,1876,5,17,0.8571428571428571,0.016666666666666666,0.4093098694058903
ambletuse,Ambletuse,False,UNKNOWN,4,22,236,4,9,0.75,0.0,0.3496396244867516
le-cadi,Le Cadi,False,MALE,3,5,123,5,11,0.8571428571428571,0.016666666666666666,0.4093098694058903
zulime,Zulime,False,FEMALE,1,1,35,4,4,0.75,0.0,0.3496396244867516
